mode,model,features,status,accuracy,balanced_accuracy,f1_macro
hand,logreg,none,failed,,,
hand,lsvm,none,failed,,,
hand,logreg,bandpower,failed,,,
hand,lsvm,bandpower,failed,,,
hand,csp_lda,bandpower,failed,,,
elbow,logreg,none,failed,,,
elbow,lsvm,none,failed,,,
elbow,logreg,bandpower,failed,,,
elbow,lsvm,bandpower,failed,,,
elbow,csp_lda,bandpower,failed,,,
forearm,logreg,none,failed,,,
forearm,lsvm,none,failed,,,
forearm,logreg,bandpower,failed,,,
forearm,lsvm,bandpower,failed,,,
forearm,csp_lda,bandpower,failed,,,
